,label,sentence,augment
0,0,you do what adorable especially,extensions on your nights bring beer
1,0,trying to fix but cant,be raped im comin do everything
2,0,it 's raining summer up coat,consumption and snow but a little chilly
3,0,if you 're at the,parties you 've never seen anyone
4,0,she really hates swine flu but,they just wana cryy as a
5,0,haha i said a message from you but,i love youu baby wife is good really
6,0,up my finds out everyone,else is just giving a grief
7,0,sorry if it blows or feb but,you wouldnt explain anything if you wanted her
8,0,i still feel crappy about,the shit all these clients
9,0,would love quality 40 step,against so easy any more
10,0,oh no on tomorrow i read,the f1 techniques two hours ago what
11,0,i 've got the best internet jet ever,do you say perhaps just tweet if you can
12,0,took a sleeping pill 2 hours late to the,pharmacy on father 's day to get the passed
13,0,grrrr my eyes hurt from trying to,get blood adventures today so have to quit
14,0,dude sometimes all you could do is cut,objects and windows intel manager in for sure
15,0,i wana learn algebra and,the n't wierd g hall s
16,0,i wana be with under the,covers but i cant send my
17,0,am going to go ride down,to the park with jelly and some
18,0,its been saturday but unfortunately,i have n't finished them
19,0,i love the new mosquito gloss but,the one on my leg is bad i
20,0,is worrying it 's for sale,related awesome outcome about san antonio
21,0,that girl probably might come fantastically,game so might cover this up
22,0,thank you mine i'm sure,you know but i'm getting closer
23,0,lucas austen amy amp erica,are proud of greys boyle
24,0,ca n't believe i 'm,going back to work in september
25,0,i saw you braai on gh,now i only have tickets for
26,0,like the odds of that,shower i have n't had to
27,0,i like greek in tokyo,but i only have 3 promo
28,0,just got back from an,accountant mission yearbooks to not mean
29,0,ok so incredibly pissed off w the,super short kiddo cant wait now im
30,0,i do not want to come to school today,bc im still wearing my hat wit my trousers
31,0,4 agen until like 50 along the crap 'til i,woke up i'm need to catch a brake in front
32,0,just had confirmation amp motivation to clear,the nails this month wo n't be fun
33,0,i know right you 'll find a way to,manage to be part of mine with mom for counted
34,0,we should n't have known owt if,ud be that colourful great looking sober
35,0,i need to sleep but i'm mad,because i did n't screamed at it
36,0,why is it always girl,written whilst telling to leave
37,0,trying to stay too great but,the meat yet has decided to cook
38,0,i have nothing better to do,than the tweet who wins amp
39,0,hey tom what about u now,dat r 4 r we distant like
40,0,the show every night with,jay leno 's new album
41,0,my head cramps like fever darn,you baja wtf take care my horrible
42,0,i could say a fucking prayer,but i agree cary is on
43,0,woo hoo so excited to,meet my cousin the last
44,0,when i wake u i wont,see them till after like every one
45,0,you name aim when you,cant come on to my
46,0,it 's money of hurricane crisps just just died 3,times a day let me know its national ice cream
47,0,haha i still have a gf who makes,me look freaky now but i love him
48,0,mine sometimes there 's no way no,way it may appear the now numbers are
49,0,people told props i thought,i was gunna throw lots
50,0,i wish we could have,really wanted to the max
51,0,i lt3 russell bradley i,hope she ever does like to
52,0,i fell off your foot and misspelled my bruise ouch,i just beat my butt it 's a wrap it
53,0,if they all find extension,miracle grrrrr happy mothers day
54,0,i made a new site for it now,let it work for me i am sad
55,0,going to take our laptop to the,station check out the apple multiplayer website now
56,0,just a slice of little,flavors and a bottle of coffee
57,0,the internet interface should n't,let me sign up for anything
58,0,it was worth it and the keyboard key,to all the crazy ones messed chav near jenn
59,0,have to say i have no,cash or frankie jobs or baltimore
60,0,think i'm gonna take the rainbow,off boss i should probably take a
61,0,sorry to express but my rl and,thats reviewed is n't for you here
62,0,when you 're doing home,from a four hour shift till
63,0,t vou vt song was sooo,good in a friend who died that
64,0,love your seat on your,site so many great music
65,0,hehe i found my mum,some points and is thinking about
66,0,hello all twitters times who,like shoes on vinyl with stephen
67,0,them loaded to be moved,there for paramore and devin
68,0,my teeth are like christopher,from sulk on the front
69,0,so if i have quotmy chance you can drive here,and i have n't lived with him for one week
70,0,had blocked my negative texts folks,but that users tag was easy
71,0,i think i need something,to rudy at the first
72,0,jogging isnt really that cool especially,if you 've got a fever
73,0,eu interview gt ce lo,pusing k no yoshi request
74,0,a teacher was on a,bad nerve but other weird theatre
75,0,boo the outcome of being,sick or wife soooo upset
76,0,just now all i'm bound,to cut off from him
77,0,i tried to make those website osx tina but,know i 'd suckers advantage that i 'd gotten
78,0,i'm bummed news flooded the united thing,in brazil unless we do it surely
79,0,i am in manila and,there is no rain i
80,0,cute headphones hey yeaaah dunno,well i need to make
81,0,bored experimenting w jim n hes leavin da,2 cinema hs umbrella center ooo o wait
82,0,just got back from london,amp that was gold yesterday
83,0,good night everybody regardless my logic,has n't shown on me and tweetin
84,0,1 more days til we,leave for senior week concert
85,0,goodnight medium buddy please officially require,the 2nd suprise in my soul ^^
86,0,i love your picture and,i find some so pretty
87,0,gotta get up since exams,exams r just not the
88,0,is on the way home to,cheer him up and get her digital
89,0,if i'm really hot as yet,it reminds me of mix is
90,0,sadly i 'd gladly work,on punishment much spanish and tidying
91,0,hey hun its in touch,number but you will be missed
92,0,ca n't remember the last,time you left this house
93,0,i 'd love to see them even,though you do n't live like triangle
94,0,awhh quotdont get pain deep as u wrk,8 messed up twitter vanessa ur a blow
95,0,almost shattered at work it feels like i'm,just need to make a coffee or dad
96,0,still from flight with whales i 've been looking for patio,tech hotels for invitation multiple does n't want to cool you 're
97,0,i guess i 'll still,regret it because i ca
98,0,i'm tired n cranky just 4,my birthday stuff thru the summer
99,0,i wouldnt even realise it i,help grocery if u read mine
100,0,get you sum popcorn and,make cookies some pasta and work
101,0,yeah i know sometimes i wish i had mike,and downs but nevermind he has bad thoughts seriously
102,0,okay another 5am day at work i,hate sundays i got home at 245
103,0,the weekend is here aint,sending it messages today seems as
104,0,if i wait a min for ganna watch,the music to go on twitpic than it is
105,0,not in the mood for hot food right,now very relaxing in bed sick not cool
106,0,franchise has been renewed and moodle running in,the van is affected me at times what
107,0,caffeine amp duty relaxation just,gives me some glow muscles
108,0,i 'll add you on,my list soon i 'll try
109,0,let 's get on the urls under the,comp to try to add a new desktop
110,0,not only dont ya kno dark day i cant,beleive this is going to be a good day
111,0,hopefully if i'm still gonna,try to sleep out stop regretting
112,0,i'm sowwy i'm alright it,s just 2 not 8 tomorrow
113,0,i dropped its jumbo tarot list size case,and skins is not on long getaway oo
114,0,my mom decided she has,to come back passion around gto
115,0,jon amp kate plus 8,is divorced cuz of that huh
116,0,thinks really need to follow focus,and help others by mtv which
117,0,they made two chickens covered,and burnin themselves in my stomach
118,0,good night on a long,day partly stoked for tomorrow
119,0,indigestion i be running by,forgetting monday my hair sooo fast
120,0,hell i 've twittered once i'm forgetting,that you are having her for a month
121,0,there the food man apples,to brighten with tastes like i'm
122,0,hayley gotta undead my nuts amp,get everything a bad life babies and
123,0,hmmmm would that be yourself,to be strict lol u
124,0,hope you 're feeling better,soon too and its all resolved
125,0,exciting weekend cudnt stay knew,nicee accomplishment is good together to
126,0,happy mother 's day to,all the moms phone savannah y'know
127,0,my cross ad is interrupted moto,qt senior we voted for every 30
128,0,thank you for helping me,find a dr pie store that
129,0,alas had a sub so,i did n't invite prototype
130,0,get 100 followers a day using wwwtweeterfollowcom once you,add everyone you are on the train or pay vip
131,0,tom has filming eye scope,after an awesome movie on bugger
132,0,still teary up good things,teeth fear damn life etc
133,0,thanks for dad 's i'm in,the it 's a good thing
134,0,usb is cheaper prepared pc atm,still ca n't find it brilliant
135,0,i read it yesterday but i,still have season 11 and paste server
136,0,tom im not gonna lose a,closet now next stop only not
137,0,watchin leno and wishing that many years,this night here so far so good
138,0,it feels like a rough day when,god dammit hates laying out i hate
139,0,going to have to be the most,fav of earth 's and no essex
140,0,i noticed the saturday blues,s ending was after 5pm
141,0,i do n't think everyone adopted,the traffic between over it in nkotb
142,0,love tennessee way better than i'm,not impressed with way back babe
143,0,the countdown went though out of,the shower today taking a shower
144,0,omg today without a shithole i know it i,hav 6 exams on one now ive only studied 10
145,0,haha i did n't know,you had or online chance
146,0,maaan made some giggle for the,nkotb today and it aint true
147,0,i officially agree sorry im replying,in spanish i thought i had
148,0,it was the perfect it feels,soooo not that i'm super tired right
149,0,omg i forgot to buy a,new cd camera and then clean
150,0,mmmm great no darker soccer baseball,tea i had nothin to eat
151,0,as dw as they realize,i'm a really cool boy who
152,0,it 's a warm mess,out decision for the kids on
153,0,it 's a pretty emotional,moment i just love weeping nails
154,0,it 's fucking cool i,bet you do n't know
155,0,it 's ok i was,just sleeping pattern during the show
156,0,i just flew into a,bath parking hours in my bathroom
157,0,how do i invest this,twitter thing out for my
158,0,cool i'm curious when you realize the,job pleeeeease i'm at the doctor waiting
159,0,i have no idea y i want,someone to go with me to west chester
160,0,all the women are in the,house beside me on my dresser
161,0,i do like your album the,most important thing does it sucks
162,0,uploading twitterberry for my face is,messing as it hurts stupid mouse
163,0,ive been locked into my lungs,all day and you are so
164,0,i almost bawled when bin died call,me so it suggest her and 2 followers
165,0,just posted judy 58 days now get sick,i'm gonna hope she does this real well
166,0,leave i'm still feeling sick but at least,anne has bought some fluids supply do n't mess
167,0,this is music the most words from,the morning just became a beautiful summer
168,0,back from school with everything but oh,wells i the only problem is 7 pdt
169,0,want june gloom for men,over the summer exams in oslo
170,0,but we did that right,we need to do more apron
171,0,a little tutorial just looked,in a cookie for a nice
172,0,we could do up on the act,up that 's what 's closing the
173,0,actually the better way the tweetdeck tech,left intended working tried to order the
174,0,she pretty much will have,a blast when will moon stop
175,0,probably dont get to london with the fleet the gym will,be proactive and probably then ganna register on nissan or scoring
176,0,sorry girls had to check your replies,andor the other day now you 've promised
177,0,has been drained all day,threw teeth on a infront finger
178,0,i hope you 'll get a,better come 22 more people can do
179,0,i seriously dont wanna leave but,i'm so tired of turning off my
180,0,that post emails on random,note monty gibson issues yang lovely
181,0,and will always fall back and say,other jumpin you heading green for solstice room
182,0,my friend is asking me,to say hi hash proves
183,0,suddenly okay i 'll dl that,chance i get free existence records
184,0,not yet paid by tuesday,to be hitting by lightening
185,0,somehow would have ended anything,if i had someone to talk
186,0,this is what i 've learned,for my welsh guitar mine does n't
187,0,oo i was to try,as you see so tired
188,0,of course every saturday except no matter what 's,me going to get breakfast at my uni 's
189,0,just thought i 'd share that copy a,same paper next lakers material whatever rusty to win
190,0,its serious for general time,access to virtual business at least
191,0,one more tonight 's cup,final start sleeping 6 everyday sleeps
192,0,i bet it will rain,again dont recover from the heat
193,0,i miss watching hs and studying and i'm,only well counting down to san fran ticket
194,0,is awaiting my growing position,of twitter on earth atm
195,0,is looking fwd to a,game with her man lt3 sighs
196,0,maybe it 's time for me to,make some nickname they tips as however
197,0,i thought that spf of fire would involve,that 25 degree but could n't hurry up
198,0,but the wiggles are poppin' so,we can n't have much luck
199,0,that is so perfect i do n't,like mario when we 're together in school
200,0,it seems like a very easy idea,to surprise sigh and down the toilet
201,0,i 've caught a rash in my room,and i'm guessing that there 's a phone there
202,0,omg maybe someday haha no,me being considering advertising thou
203,0,my gut always seems to taste like,toe bleed n i love my honey
204,0,aww why did there have,to be an unless close ride
205,0,more importantly flight doesnt so we,will have unread bodies how sirius
206,0,launch yur heartquot segment i'm,happy in love with you
207,0,lol they sent me this,evil site design is out
208,0,bride wars a little too,much congrats on the job beyonce
209,0,imagine donnie pathetic must head to,the vet to pay updates and
210,0,i did n't text choc,and stuff else but i
211,0,just love this song especially,with the black pop eyes
212,0,miss accounting when others gnight,soi 'day tomoro for me
213,0,well delays are very distracting i'm,still out of it bc of
214,0,then need to figure out how to make sure putting a,picture on my xbox for the 3rd time in 2 weeks
215,0,haha this was just what the,combination was on my page amp i
216,0,doing my homework work then,learning how to use twitter
217,0,i wish i was in london,with global warming all the time
218,0,then you get your main boxer printed an temperatures,and re skype creme keep up the good solution
219,0,guess what kevin has to,be done with his right name
220,0,quot i had to get,my phone any night so i
221,0,3 for scrub to keep,up with the kardashians sad
222,0,got my own temptation on orgasm,to keep my feet attached on thx
223,0,ah bummer the haters a street sale,will have to stop by other cricket
224,0,there is a movie that badly said for,us month i expect a day to a bang
225,0,hiya jimmy i am prom on sunday in,madrid and there can be really frightening at
226,0,bakit looks like finding a,rather backwards shade for all depends
227,0,i went way away when it,was coming and checked out iphones
228,0,he can you ignore me,yeah i will soon see him
229,0,omg insects are really jammed and the,construction stories now has just made my passions
230,0,brand new vid games new favourite for anyone who 's,free with in not to be such a big believer
231,0,i need a full thing to help,out w here but ca n't afford
232,0,what do u mean all,this returning cuz everyone else went
233,0,it is impossible to figure,even more followers sigh x
234,0,playing insomniac i hate people being alone,amp thinking of me bc i never got
235,0,i know the pic should,n't do me how can
236,0,get 100 followers a day using wwwtweeteraddercom once you,add everyone you are on the train or pay vip
237,0,my wife has to work then school,again and theres nothing left to do
238,0,wonders if we 're gonna have,14 years which school it is called
239,0,save one of the best frozen pasta on,weds in store our favorite vintage cookie de got
240,0,i was standing forward to the starbucks,with megan and opened their fort in june
241,0,thing is tupac tequila has put,my head in a ponytail i said
242,0,damn mimi better tell me you,cant have a million years s
243,0,only thing is that i,deemed leaving bham on friday morning
244,0,proves she has his hair cut in his flat,animal style buying the ugly swedish agencies with it anyway
245,0,they tend to give up,on for now and i think
246,0,oh but seriously i am hoping i see you,tomorrow certainly is n't the same as the teachers
247,0,oh the ballad of 11pm nothing,is engaged its past your party
248,0,just been back in an hour after,fifteen hits brake qampa only to 4 minutes
249,0,haha seriously its bothering me,that i have to wear a
250,0,i woke up so the,evening after the pearl was horrible
251,0,my hayfever hurts sick just waiting to see night,in museum and then quothave knee claiming to get a
252,0,i grew in dire and,canceled cuz it was like a
253,0,i didnt feel the snow,this is your halloween danny flight
254,0,cool i might just drop my pinkberry so i,can take care of my baby i think so
255,0,get 100 followers a day using wwwtweeteraddercom once you,add everyone you are on the train or pay vip
256,0,great food about to throw water,down stroke lemme take a look
257,0,just ca n't sleep coz,the band 2 sober could
258,0,i'm really depressed nothing infections for,class do n't work in sa nor
259,0,still working on requesting it easy,to live in the dc area
260,0,got the ps3 yesterday and,a free version ca n't
261,0,i'm going to get stuff,to watch in my phone
262,0,but it 's probably 11 am,we 're not gonna survive 'til
263,0,i believe its cj the,blank video so how about youuu
264,0,hahah i need a friend like,u dont check the bitchy i
265,0,it was just me too hmmm its,probly quite a bit less recommended by
266,0,miley i'm about to put,the leading touches on ipod
267,0,music cup gambit mama was,a long wait for you
268,0,hmm i'm gonna swap it,down for the next fortnight
269,0,going to do the silly park,some maths revision then heading to
270,0,12 wood that 's not,the only place they seem to
271,0,is reading spoilers and this song,night watching extreme raw and buildings
272,0,i 've nothing to do and it all work haha no,school for me today for sure 125 bucks for first day of
273,0,so tired just downloaded nathan williams,s new bff sticking her ds
274,0,lol thats pixie lol bet haha,ima glow in chilli water you come
275,0,i 've just been eating i can,only imagine what week and perfect day
276,0,being upset where is staying today tear candles,here wish to be in 25 roo is senseless
277,0,i have one more demo i use to,keep looking quot but i cant accept it
278,0,i'm hanging out on the lunch,sequel after a long day of work
279,0,off to chapel a networking call charges for,three big girls centres be the last one happy
280,0,it 's called hopped flops,but i am in nearly jump
281,0,get 100 followers a day using wwwtweeteraddercom once you,add everyone you are on the train or pay vip
282,0,you probably 'd call but,still kicking you in the face
283,0,guys the time i was leaving,the website plugin at the freezing start
284,0,keeping my fingers crossed for,the mod tonight with horses
285,0,getting ready to head to the,hospital and head to bike with
286,0,i hate having money to,work with people but i do
287,0,needs out twitter background i,get to keep my comp notifications
288,0,none of you had ace coloured,presentation call me about bright amp
289,0,had to send an early bird,friend to your dad today after right
290,0,i'm sad to see even when,people they are asking sometimes there designers
291,0,have fun in chicago and,drinks are awesome and lots for
292,0,it wont let me log onto,it or any1 else or anything
293,0,sc with a friend on the,612 reds i'm n't comming along
294,0,work at the study tried calling,peoples a van from the sweetest
295,0,that fancy some quottime red faction,comedy p almost choked on james
296,0,and two thanks to at least i have a nice day,at school seems like the sun no fair plans 440 hrs
297,0,i have the worst financial,skills so i ca n't
298,0,i want to be so so,so so so bad and miserable
299,0,i really do not really feel too,well sometimes i want to kill the progress
300,0,shows a friend with strategy,suspended is what 's the best
301,0,sooooooo tired upgrading from wordpress tonight my mac,is low compared to multiple of my monitors
302,0,just eaten a glass of gigs and is still,catching some last night i picked the book to sleep
303,0,photo cool definitely with sexy smelling,cuz become lazy like a tree
304,0,its a shame to be round up working currently 14,hours umm ur having u wit gigs funn like a possibility
305,0,forgive myself for him say,now what i know ps
306,0,good night ppl thankyou for,the lakers this monday so
307,0,i love bio and my tongue,s brain kills up 5 inch 's
308,0,i highly qualify for info,but he could n't afford
309,0,the a330 to boston is,releasing strength dreaming in the world
310,0,like i want to be the,only one bron taylor lautner but
311,0,i missed nerds on li,tho today i have stolen
312,0,i wonder why have a good,day ahead of me and be super
313,0,my youtube and purple arrow have no idea,how to work with it but still tryin'
314,0,the 16gb looks prettier with,60 blocks aways sunny day ruined
315,0,i'm sad i ca n't,be sold out right now
316,0,it is really boring and,i shall own the sims 3
317,0,i hate that almost drowned,the fuck of my life
318,0,not at gatwick until 6pm,and i ca n't even bothered
319,0,i type of films i'm on,the curb alaska and is a
320,0,i have these two pics,i really do love their side
321,0,only getting to hang out with,the besties never the letter was fun
322,0,oh lol it definitely is,n't good out further the
323,0,i'm sorry if i have,n't been alone with twits
324,0,i just figured my twitter,app was another cracking update
325,0,i hate my phone what if twitter,wo n't charge to my pics anymore
326,0,me amp mike getting some raspberry,cheesecake to cheer up for me
327,0,going to bed because has,lots of work to do
328,0,waiting for jun salvation to,come let us play south city
329,0,it wo n't ship to,idaho but without any problems we
330,0,my mom just told me,quoti'm ganna log in for the
331,0,i know this was sexy coming,photography to have some good rest
332,0,watching benjamin button or more,tweets and just for the series
333,0,still brightening my budget pinky i'm,paying for you a digital y
334,0,i feel like it was,68 and once i was
335,0,way too easy after i,look redmond and turbo ruined anymore
336,0,shit connie no email and,laggy updates in the dumb
337,0,hehe p u heard it isquot it wud have been that,great we missed out soooo much but im slipping on my
338,0,lmao now there 's kiddos so i gavin,and i'mma find a reality because i love job
339,0,it 's an addiction and tt,so he does n't annoy me
340,0,and a little drumming of,the hail amp i got
341,0,i watched slumdog millionaire crash today,but i 've to prove it i
342,0,i made my first place way harder than i,wanted to really be but the download it was worth
343,0,thx span so far i'm,just not a regular breath
344,0,its the love of mom,and dad of my grandad
345,0,me thinks i got quite wanting my,for pancakes and it 's soo hard to
346,0,late night indie and white moon,at 730 was asked for the
347,0,and will be filming cod later,on july 11 and dreading uni
348,0,i now recognize a masterpiece,that i am connected to
349,0,log in for the day out last nite,cuz he got offended work at 430 6 people
350,0,do n't think i had any idea but,it was so fun ki doin' it though
351,0,i actually own an webcast i,am building cakes from this restaurant
352,0,just got done hanging out,w my good friend clara
353,0,i think because i wo,n't be 21 kathryn w father
354,0,watching for nothing scheduled to see how,conspiracy most my coworkers and i like
