,label,sentence,augment
0,0,how have i tweeted anything,how are you still doing or
1,0,you do what adorable especially extensions on your nights bring beer,you know it 's already raining i thought that i was a
2,0,travelling around the house with thomas,travelling back to iowa tomorrow
3,0,i think that 's pretty much what happened,i live in bed once i have pandora
4,0,i'm not a sports fan,i'm fine but twitter 's life
5,0,trying to fix but cant be raped im comin do everything,trying to get sims 3 to stay close to my car
6,0,they dont make my as stale that,they have n't revised problem yet
7,0,hello poems try feeling the pain again,hello flippin' love love u hope u have
8,0,i 've eaten the biggest top of,i would probably lose lost through
9,0,how did i miss it taco paint is gross,how good it 's gone like we supposed to be
10,0,i stubbed my tooth i do n't think he,i made deep connections it was n't confiscated
11,0,i ca n't believe how now,i want to be there
12,0,it 's raining summer up coat consumption and snow but a little chilly,it 's easier to have to investigate more jealousy of the internet and an
13,0,i only saw 7 people from today,i even thought a joke looks like though
14,0,hope we could get healthy today tornado does n't,hope all of you had a good rest
15,0,if you 're at the parties you 've never seen anyone,if i lived 20 years old i ca n't get any programming
16,0,working a little bit today as well but it,working abroad tonight v show looked photograph much
17,0,when u using it i 'll buy it more,when i get up i will have nightmares ttyl hi
18,0,she really hates swine flu but they just wana cryy as a,she 's been kissed so there 'll be year football hahaha
19,0,yes looks been really blessed to us all,yes i hear it working after 10 hours straight
20,0,one more thing i am figuring out,one cloud hill 1 bottle playing is almost
21,0,ca n't wait for arizona,ca n't even ride without dev
22,0,please stop trying to go by side i just,please say hi again grandma lt3 please please
23,0,postal sold out abt 45 minutes old stuff,postal pie with jim bec and the ice cream
24,0,shes taking since graduation college got,shes back join me tom
25,0,haha i said a message from you but i love youu baby wife is good really,haha id get on on sunday if only i had danny i love that one
26,0,i wish i was there wid you too too,i see one in the art of st jr and
27,0,wishing me a happy bday,wishing you a nice day thank
28,0,think i poisoned a couple of,think the link looks dope
29,0,there is probably going to stay for a while,there rings up in dallas next time we 'll come
30,0,back to delay my cactus,back to work despite life
31,0,up my finds out everyone else is just giving a grief,up soo early and one hour in bris soon too
32,0,the ferris wheel chips were rising,the aquarium itself is always clean
33,0,and it 's amazing how did you,and came fri with loud fml
34,0,sorry if it blows or feb but you wouldnt explain anything if you wanted her,sorry buddy but just busy messing by lightning thunder anatomy work and fer work
35,0,p i still do n't know who,p facebook is n't working yet
36,0,what kiwi one short is going,what a pretty unpleasant day
37,0,he culd be touring all the time,he gave you a boost for that purpose
38,0,i still feel crappy about the shit all these clients,i 'll finish ganna play mythbusters later quickly marathon
39,0,i 've been trusted comments lately,i want to be with you
40,0,how many texts will back,how do you shiny loose indonesia
41,0,fine just got the box,fine gmail wont stop celebs thro
42,0,i bet that 's what u want,i have the game to myself but it
43,0,would love quality 40 step against so easy any more,would really go for a bike ride but i have n't
44,0,double anthem from burning all over my room is,double quick got a bracelet in the office
45,0,i should 've stayed back underneath light,i just wish me luck plz
46,0,oh no on tomorrow i read the f1 techniques two hours ago what,oh bless you and i must walk for cheering dried and smile
47,0,keep alert until 10pm and the sub will come,keep the notification nightmare cherry and vanilla soup
48,0,i miss my mr west room,i actually went with bex thomas
49,0,also looks aweful make the application for the,also has had a very relaxing day
50,0,i want you to know quotthe ortho number,i dont think you are a guest
51,0,its a major hair 's huge joke,its a new movie called steven tyson
52,0,so now we 're heading to,so much for teaching pizza
53,0,haha of use technology singer but she,haha you could always keep you 're kidding
54,0,i 've got the best internet jet ever do you say perhaps just tweet if you can,i might have to put the bones gone up the block i 've retweeted bryce 's songs
